id,DateFrom,DateTo,min,mean,max
1,2021-06-11T00:00:00Z,2021-06-12T00:00:00Z,NaN,NaN,NaN
1,2021-06-12T00:00:00Z,2021-06-13T00:00:00Z,NaN,NaN,NaN
1,2021-06-13T00:00:00Z,2021-06-14T00:00:00Z,1851.71936,1852.186248,1853.760986
1,2021-06-14T00:00:00Z,2021-06-15T00:00:00Z,NaN,NaN,NaN
1,2021-06-15T00:00:00Z,2021-06-16T00:00:00Z,NaN,NaN,NaN
1,2021-06-16T00:00:00Z,2021-06-17T00:00:00Z,NaN,NaN,NaN
1,2021-06-17T00:00:00Z,2021-06-18T00:00:00Z,NaN,NaN,NaN
1,2021-06-18T00:00:00Z,2021-06-19T00:00:00Z,NaN,NaN,NaN
1,2021-06-19T00:00:00Z,2021-06-20T00:00:00Z,NaN,NaN,NaN
1,2021-06-20T00:00:00Z,2021-06-21T00:00:00Z,NaN,NaN,NaN
1,2021-06-21T00:00:00Z,2021-06-22T00:00:00Z,NaN,NaN,NaN
1,2021-06-22T00:00:00Z,2021-06-23T00:00:00Z,NaN,NaN,NaN
1,2021-06-23T00:00:00Z,2021-06-24T00:00:00Z,NaN,NaN,NaN
1,2021-06-24T00:00:00Z,2021-06-25T00:00:00Z,NaN,NaN,NaN
1,2021-06-25T00:00:00Z,2021-06-26T00:00:00Z,NaN,NaN,NaN
1,2021-06-26T00:00:00Z,2021-06-27T00:00:00Z,NaN,NaN,NaN
1,2021-06-27T00:00:00Z,2021-06-28T00:00:00Z,NaN,NaN,NaN
1,2021-06-28T00:00:00Z,2021-06-29T00:00:00Z,NaN,NaN,NaN
1,2021-06-29T00:00:00Z,2021-06-30T00:00:00Z,NaN,NaN,NaN
1,2021-06-30T00:00:00Z,2021-07-01T00:00:00Z,NaN,NaN,NaN
1,2021-07-01T00:00:00Z,2021-07-02T00:00:00Z,NaN,NaN,NaN
1,2021-07-02T00:00:00Z,2021-07-03T00:00:00Z,NaN,NaN,NaN
